"국가별","항목","단위","2024.01 월","2024.02 월","2024.03 월","2024.04 월","2024.05 월","2024.06 월","2024.07 월","2024.08 월","2024.09 월","2024.10 월","2024.11 월","2024.12 월","2025.01 월","2025.02 월","2025.03 월","2025.04 월","2025.05 월","2025.06 월","2025.07 월","2025.08 월","2025.09 월","2025.10 월","2025.11 월","2025.12 월","2026.01 월","2026.02 월","2026.03 월","2026.04 월","2026.05 월","2026.06 월","2026.07 월",
"콜롬비아","수출금액[천불]","천불","61646","83384","75743","73085","80377","62486","69355","74751","81496","91389","86516","97276","66486","81119","108278","109546","127519","143499","128276","94544","168606","102650","116272","137853","105169","113302","136282","157410","158015","139706","133374",
"콜롬비아","수입금액[천불]","천불","74031","49137","68503","75768","197196","107639","200160","207092","158001","115395","147300","70214","95564","158313","37482","39817","95433","152989","93237","83134","55597","102418","99394","179247","114087","67937","52071","105509","72251","53835","155428",
"콜롬비아","무역수지[천불]","천불","-12385","34248","7240","-2683","-116820","-45153","-130805","-132341","-76506","-24006","-60784","27062","-29079","-77194","70796","69729","32086","-9490","35039","11411","113008","232","16878","-41394","-8917","45366","84211","51901","85764","85870","-22054",
"쿠웨이트","수출금액[천불]","천불","26705","32348","26725","29141","36106","55271","45744","26998","25045","38771","43277","45065","35753","62742","41046","57077","48410","85661","33005","28363","72350","30337","39307","126665","43307","29596","10957","7691","20374","58061","24115",
"쿠웨이트","수입금액[천불]","천불","800381","890079","687220","672284","751548","685241","638363","1020457","661761","781849","660130","600404","802322","575332","678960","578341","799690","526735","594345","795121","528389","827498","422947","794390","655214","658840","396680","15293","2","254887","435048",
"쿠웨이트","무역수지[천불]","천불","-773676","-857731","-660495","-643143","-715443","-629970","-592619","-993459","-636716","-743078","-616853","-555339","-766569","-512590","-637914","-521264","-751279","-441075","-561339","-766758","-456039","-797161","-383640","-667726","-611907","-629244","-385723","-7602","20372","-196826","-410933",
"슬로베니아","수출금액[천불]","천불","102645","116433","104569","91590","79457","80874","99389","88651","71031","71303","63546","81634","63883","74105","60517","102630","88291","103375","92124","84885","100055","63241","60373","67598","95854","65731","86671","74833","90221","70492","77016",
"슬로베니아","수입금액[천불]","천불","4970","8018","12494","11440","8434","7859","10614","8610","7054","11266","9570","12710","6459","11772","15754","13189","12133","15698","9510","17187","10993","13480","10157","12466","18015","12758","9861","18521","10592","18026","7777",
"슬로베니아","무역수지[천불]","천불","97675","108415","92075","80149","71023","73014","88775","80041","63977","60037","53976","68924","57424","62333","44763","89441","76158","87677","82614","67698","89062","49761","50216","55133","77839","52973","76811","56312","79629","52466","69240",
"핀란드","수출금액[천불]","천불","26734","15367","32291","22774","20774","26478","49918","38357","53658","53210","42589","85711","45116","33203","40570","27825","40946","35047","33216","27550","41683","28834","33523","66605","30335","26525","42722","52232","33723","35337","34549",
"핀란드","수입금액[천불]","천불","80949","54825","65450","79391","56372","65519","74983","68964","71319","100682","65680","78629","74099","82861","92122","96895","113143","105573","123011","82614","68977","90811","63400","106902","75426","59019","66741","81364","64029","76249","64394",
"핀란드","무역수지[천불]","천불","-54215","-39457","-33159","-56616","-35598","-39041","-25065","-30607","-17661","-47473","-23091","7082","-28984","-49658","-51552","-69069","-72197","-70526","-89795","-55063","-27294","-61977","-29877","-40297","-45091","-32494","-24019","-29132","-30306","-40911","-29845",
"스웨덴","수출금액[천불]","천불","120495","117937","138799","122100","123932","118031","110335","145788","92741","77522","98168","100288","96083","94041","99067","134104","100411","101042","184513","98549","127382","92642","129295","140078","146299","109543","141272","139953","141425","117228","142664",
"스웨덴","수입금액[천불]","천불","126773","149402","198419","131976","174537","182977","165846","144192","182694","145040","134795","205646","155454","152858","196969","141673","168821","154113","208217","140771","209766","158673","173583","252907","289298","182222","191436","149872","163229","258577","151208",
"스웨덴","무역수지[천불]","천불","-6278","-31465","-59621","-9877","-50605","-64946","-55511","1596","-89952","-67518","-36626","-105358","-59371","-58817","-97903","-7569","-68410","-53071","-23704","-42222","-82384","-66031","-44288","-112829","-143000","-72679","-50164","-9920","-21804","-141349","-8544",
"알제리","수출금액[천불]","천불","21279","20224","41740","30760","16563","29418","17839","17046","22866","18840","24566","30331","20216","33669","29263","54755","23792","38286","37282","20043","36015","22887","37422","30040","36659","29298","33091","42503","35376","40320","52237",
"알제리","수입금액[천불]","천불","365381","277730","383483","227551","338967","251735","205358","364059","237065","226449","467572","287916","455392","295860","285843","229343","452098","117468","441214","184598","380844","212930","388716","238394","250363","403490","204012","324075","936942","475540","247578",
"알제리","무역수지[천불]","천불","-344101","-257507","-341743","-196790","-322404","-222317","-187519","-347013","-214198","-207609","-443006","-257585","-435177","-262191","-256580","-174588","-428307","-79182","-403932","-164555","-344829","-190043","-351294","-208354","-213704","-374192","-170922","-281572","-901566","-435220","-195341",
"오스트리아","수출금액[천불]","천불","80705","92178","91252","99873","125404","100665","115546","138816","130696","189095","184254","71327","62082","80399","97353","110208","90307","94039","98144","102678","118950","107532","87947","73046","90828","94732","110239","84556","87263","119869","171927",
"오스트리아","수입금액[천불]","천불","77798","77505","145371","144326","152970","153161","97879","140375","124857","153450","187896","173667","112986","116531","133220","131048","150361","161403","157872","136401","129691","121581","106829","146276","95985","141696","114917","158283","141997","155981","150884",
"오스트리아","무역수지[천불]","천불","2907","14673","-54118","-44452","-27566","-52496","17667","-1559","5839","35645","-3642","-102340","-50904","-36132","-35867","-20840","-60054","-67365","-59728","-33723","-10741","-14048","-18882","-73230","-5156","-46964","-4678","-73727","-54733","-36112","21043",
"페루","수출금액[천불]","천불","48306","51989","56907","56607","54348","46441","48274","48496","47794","49768","45031","51700","40438","52078","45850","61355","49138","49164","61463","71150","58776","42047","46189","51354","46670","53286","55256","67714","57588","73754","77389",
"페루","수입금액[천불]","천불","173245","334270","354658","242154","207906","195641","261437","119632","219787","212059","129141","151620","257596","228380","393420","346018","178407","214777","232842","244248","88811","114960","93202","167880","244782","280057","316050","193868","164883","425563","327255",
"페루","무역수지[천불]","천불","-124939","-282281","-297752","-185547","-153559","-149200","-213162","-71137","-171993","-162291","-84110","-99920","-217158","-176302","-347570","-284663","-129268","-165612","-171378","-173098","-30035","-72913","-47013","-116526","-198112","-226771","-260795","-126154","-107295","-351809","-249867",
"파키스탄","수출금액[천불]","천불","135220","94943","84916","90319","80246","65817","64548","63292","82413","77552","64130","80478","107101","95917","116426","115633","93441","92755","121414","105628","168707","102288","93049","106639","88914","72731","108744","99231","86515","92131","111533",
"파키스탄","수입금액[천불]","천불","28205","29547","19349","43341","23454","23341","19338","15910","29529","18314","31485","15849","38186","20904","13572","27316","12919","23489","14664","16531","15710","22741","19707","29300","19673","16174","19192","29681","14413","16040","19131",
"파키스탄","무역수지[천불]","천불","107015","65396","65566","46979","56791","42476","45210","47382","52884","59239","32645","64629","68915","75012","102853","88317","80523","69266","106750","89098","152997","79547","73342","77339","69241","56557","89552","69550","72103","76091","92402",
"요르단","수출금액[천불]","천불","52110","47459","39069","46292","36620","46592","48630","41238","46969","47524","40801","53541","55723","60293","47877","71251","43232","42921","53857","46869","39486","22992","33679","43432","55069","39072","28605","41515","51711","59593","50192",
"요르단","수입금액[천불]","천불","3175","1130","8356","6786","9474","10014","6817","8123","5253","5780","8890","4132","4693","2114","2673","1974","7752","3808","5184","5051","7405","8121","4763","3749","5851","3980","3587","5356","7783","3554","3194",
"요르단","무역수지[천불]","천불","48936","46329","30713","39506","27146","36578","41814","33115","41716","41743","31912","49409","51030","58179","45204","69277","35480","39113","48674","41818","32081","14871","28915","39683","49218","35092","25019","36159","43928","56040","46998",
"덴마크","수출금액[천불]","천불","224568","33995","219571","42638","233440","35952","220494","45825","237243","231299","45523","230394","253413","254830","251957","63140","252896","241419","261895","249680","276612","243299","59199","250347","65915","56170","76314","46884","46296","58840","202123",
"덴마크","수입금액[천불]","천불","78664","75832","86050","83156","107775","91447","109151","103158","156261","101847","106210","110195","137875","118444","79184","132351","99364","146350","162794","176590","226834","93495","159972","102739","105586","94206","121116","136829","109551","140696","170998",
"덴마크","무역수지[천불]","천불","145904","-41837","133521","-40518","125665","-55495","111343","-57333","80982","129452","-60687","120199","115537","136386","172773","-69211","153532","95069","99101","73090","49777","149804","-100773","147608","-39670","-38036","-44802","-89945","-63256","-81856","31124",
"앙골라","수출금액[천불]","천불","158336","5896","12505","78294","104882","99970","87840","8186","76150","67107","5762","4629","78320","3354","67259","69071","62442","69568","70659","78036","68150","29425","2627","4723","64617","68723","4150","11121","10720","3584","109589",
"앙골라","수입금액[천불]","천불","4","0","0","0","11","38","3","1","5","0","2","0","31","0","14","0","0","2","82","0","3","0","0","0","0","0","0","8","49964","68","1",
"앙골라","무역수지[천불]","천불","158332","5896","12505","78294","104871","99932","87837","8185","76145","67107","5760","4629","78289","3354","67245","69071","62442","69565","70577","78036","68148","29425","2627","4723","64617","68723","4150","11113","-39244","3515","109589",
"카자흐스탄","수출금액[천불]","천불","162570","169480","171875","174702","152758","153585","187847","196865","220602","229928","261341","263553","194104","247641","273992","255954","273139","259895","274641","259853","305954","242638","239835","163857","110300","115233","156468","176108","159673","170915","157738",
"카자흐스탄","수입금액[천불]","천불","274905","19241","195258","108499","251713","16499","43838","240772","64470","15459","15013","14356","12325","15414","13811","99846","319592","215268","21999","16709","16011","317725","86338","230182","18547","5468","9607","134403","230667","125249","141837",
"카자흐스탄","무역수지[천불]","천불","-112335","150239","-23383","66203","-98955","137086","144009","-43907","156132","214468","246328","249197","181779","232227","260181","156108","-46452","44627","252642","243144","289943","-75088","153496","-66325","91753","109765","146860","41706","-70994","45666","15901",
"사이프러스","수출금액[천불]","천불","5213","3879","3276","5381","5458","4027","3743","3074","4052","4589","5219","8163","2700","7556","5745","7123","4090","7077","6661","4368","5510","3915","4593","11242","5812","2007","5450","5002","3035","6647","4870",
"사이프러스","수입금액[천불]","천불","685","1613","1056","1005","866","1272","1506","373","345","394","103","230","1234","335","654","313","258","540","620","142","935","365","407","211","815","769","240","389","1006","231","590",
"사이프러스","무역수지[천불]","천불","4527","2265","2221","4377","4593","2754","2238","2701","3707","4195","5116","7934","1466","7221","5091","6810","3833","6537","6041","4225","4575","3550","4186","11032","4997","1238","5210","4613","2029","6417","4280",
"카타르","수출금액[천불]","천불","56742","48832","47247","79119","50303","72724","795980","51448","80226","71881","64510","71919","73034","77863","70529","66111","28107","119947","48097","37536","105326","53451","83502","69181","66169","34609","5038","9301","8091","17750","37459",
"카타르","수입금액[천불]","천불","1195179","1147373","1081927","1495169","1153925","1255927","1174616","1213079","1039281","1288562","974279","1189031","1414195","827630","950365","940102","855805","733490","738587","725970","889013","611752","626924","609640","831805","737733","480703","27513","174510","68019","367402",
"카타르","무역수지[천불]","천불","-1138437","-1098542","-1034680","-1416050","-1103622","-1183203","-378635","-1161631","-959056","-1216681","-909769","-1117112","-1341161","-749767","-879836","-873991","-827699","-613544","-690491","-688434","-783686","-558301","-543422","-540459","-765636","-703123","-475664","-18212","-166419","-50269","-329943",
"스위스","수출금액[천불]","천불","108253","88397","108940","124505","121433","104033","81337","82561","55192","77824","92188","116078","101421","137333","139716","110611","164444","232491","116251","215651","235401","144776","239475","232300","263183","98388","178356","177058","293980","274765","218547",
"스위스","수입금액[천불]","천불","281680","261372","287511","354205","290406","272641","327354","264143","270847","300242","313521","283458","280292","350840","403506","286047","340040","309164","347714","273453","343061","362833","301400","317617","296184","321937","324436","306815","280390","397965","380611",
"스위스","무역수지[천불]","천불","-173427","-172975","-178571","-229700","-168973","-168608","-246017","-181582","-215655","-222418","-221333","-167380","-178872","-213507","-263790","-175437","-175597","-76673","-231463","-57803","-107660","-218057","-61925","-85317","-33001","-223549","-146080","-129757","13590","-123200","-162064",
"우크라이나","수출금액[천불]","천불","25583","29850","34422","28662","31849","35842","32855","36094","35214","21063","35156","27622","33060","44990","44417","48766","56256","48224","43126","32215","45571","30820","42103","51047","29476","29448","52923","60257","48157","68739","83574",
"우크라이나","수입금액[천불]","천불","41027","49544","64540","40985","86410","41335","37136","35487","23096","14015","22128","36682","31661","8527","48254","49679","14173","18277","17747","13480","24877","13271","10004","37351","21791","17637","30479","15948","24080","26842","27250",
"우크라이나","무역수지[천불]","천불","-15444","-19694","-30118","-12324","-54562","-5493","-4281","608","12117","7047","13028","-9059","1399","36463","-3838","-912","42083","29947","25379","18734","20694","17549","32099","13696","7685","11811","22444","44309","24077","41897","56323",
"오만","수출금액[천불]","천불","53361","31077","113664","67369","30387","26389","22017","20528","80066","76562","21572","88168","65013","21100","75519","33993","50621","63096","37808","50748","101451","48770","53316","58642","41838","26677","10051","30356","37303","38591","87896",
"오만","수입금액[천불]","천불","472469","518814","392124","604562","506990","373641","362362","506465","511692","437907","522308","449793","499520","199234","350984","359525","102160","202583","144284","232701","232093","104689","128061","233144","218716","205963","221759","116377","540553","845455","688744",
"오만","무역수지[천불]","천불","-419109","-487737","-278461","-537192","-476603","-347251","-340345","-485936","-431626","-361345","-500736","-361624","-434507","-178134","-275465","-325531","-51539","-139487","-106476","-181954","-130641","-55919","-74745","-174502","-176878","-179285","-211708","-86021","-503250","-806864","-600847",
"아르헨티나","수출금액[천불]","천불","18193","20133","31736","36874","38669","26488","32805","35465","24486","44067","41516","34452","27035","33455","44208","33540","45410","49357","39334","97899","63122","34690","70128","32443","60109","62382","26154","38732","28394","44588","37964",
"아르헨티나","수입금액[천불]","천불","80481","79324","53839","117663","85559","151295","192340","147554","129648","129056","91611","126551","121718","77922","69002","63448","39652","78611","54548","79851","64184","102396","70250","47030","44344","20497","90467","29038","59214","67498","73132",
"아르헨티나","무역수지[천불]","천불","-62288","-59192","-22103","-80789","-46890","-124807","-159535","-112089","-105162","-84989","-50095","-92099","-94683","-44467","-24793","-29908","5758","-29254","-15214","18048","-1063","-67706","-122","-14587","15764","41885","-64313","9693","-30820","-22910","-35168",
"리비아","수출금액[천불]","천불","30199","22171","26678","37845","35550","39352","43080","44981","40170","48436","41325","40626","31689","42469","40606","39849","40636","28913","39275","33066","47294","36676","38489","35901","25591","25250","27304","36687","30336","40139","48204",
"리비아","수입금액[천불]","천불","1204","1041","3384","2518","2068","1975","2834","2615","3332","1935","1002","2657","1662","1627","18023","19578","1773","4447","2133","29186","18280","36499","1788","3162","1572","3661","60819","68643","212253","56731","184054",
"리비아","무역수지[천불]","천불","28994","21130","23295","35328","33482","37376","40246","42366","36839","46502","40322","37970","30027","40842","22583","20272","38863","24466","37141","3880","29015","176","36701","32738","24019","21589","-33515","-31956","-181917","-16592","-135850",
"아일랜드","수출금액[천불]","천불","71239","48359","75658","81184","92509","94276","58565","61687","66643","102980","80116","152995","76336","88660","113498","121003","86904","50927","45103","152666","206098","44209","63991","92870","85476","81523","108114","194575","212965","269594","215097",
"아일랜드","수입금액[천불]","천불","100763","109556","168747","97905","155087","88074","115531","157851","123986","149256","84251","90149","106542","123581","101820","155548","140578","83876","96992","123221","101923","113799","109688","154795","101149","92360","120636","102095","122845","125092","172281",
"아일랜드","무역수지[천불]","천불","-29524","-61196","-93090","-16721","-62578","6202","-56966","-96164","-57343","-46276","-4135","62846","-30206","-34921","11678","-34545","-53675","-32948","-51889","29445","104175","-69590","-45697","-61924","-15674","-10837","-12522","92480","90120","144501","42815",
"에쿠아도르","수출금액[천불]","천불","53468","89908","92608","46779","47889","29455","29025","25807","30530","24142","18200","28750","20630","32767","28437","32935","25397","29372","68376","42467","47115","33649","47592","44223","32164","34401","42489","23934","22831","54281","49779",
"에쿠아도르","수입금액[천불]","천불","4880","91637","8103","8855","12020","13765","13758","97854","8349","5981","9547","10214","11810","6755","7570","57396","8261","9737","12656","13221","15620","16404","7101","12951","13111","7112","167680","15187","144999","14669","44926",
"에쿠아도르","무역수지[천불]","천불","48588","-1729","84506","37923","35869","15691","15267","-72047","22181","18161","8654","18536","8820","26011","20867","-24461","17136","19635","55720","29246","31496","17244","40491","31271","19053","27290","-125191","8747","-122167","39613","4853",
"미얀마","수출금액[천불]","천불","21948","25588","23559","30040","32503","27266","30537","27083","26885","25715","27104","26981","23366","23402","24278","28022","28779","31779","28838","16816","26215","24363","21047","30611","25354","22116","29435","33697","23553","31951","39141",
"미얀마","수입금액[천불]","천불","53654","53929","45084","40611","24487","29653","38424","41284","92448","68075","42150","30351","41919","58361","60286","45942","18771","22392","46312","53355","94632","64827","32274","37613","36739","53605","53213","46433","16192","30166","39992",
"미얀마","무역수지[천불]","천불","-31706","-28341","-21524","-10571","8016","-2387","-7887","-14202","-65564","-42360","-15045","-3370","-18553","-34959","-36008","-17921","10008","9388","-17474","-36539","-68417","-40464","-11227","-7003","-11384","-31489","-23779","-12735","7361","1785","-852",
"포루투갈","수출금액[천불]","천불","230313","80765","75743","84767","79324","76000","66144","197368","202811","71560","78174","58801","56928","95112","82963","75884","61925","67731","93839","74695","66749","77002","90771","73129","83948","86408","88885","83107","60821","74852","75665",
"포루투갈","수입금액[천불]","천불","57381","35416","85596","37646","50534","36549","39442","50612","37965","38732","20396","28371","37262","41019","42755","28547","26783","33177","41968","29484","36199","21725","25073","46411","32122","34054","49941","39229","26427","23242","29832",
"포루투갈","무역수지[천불]","천불","172932","45349","-9852","47121","28791","39451","26702","146756","164845","32828","57778","30430","19665","54093","40207","47337","35142","34555","51871","45211","30550","55277","65698","26718","51827","52355","38943","43878","34393","51610","45833",
"루마니아","수출금액[천불]","천불","61915","62447","52553","47604","62021","41293","46043","83060","39229","41653","44940","44287","41323","48663","60535","71398","52840","42929","54536","65947","50168","35839","38788","43987","50601","61097","54189","63544","43440","76949","147894",
"루마니아","수입금액[천불]","천불","86225","99213","70219","66933","42356","46952","56000","53977","45750","48471","43538","49775","47514","36618","37922","37620","37395","38135","48952","60758","74642","50487","50507","54377","35170","45112","44971","43241","36025","51405","43847",
"루마니아","무역수지[천불]","천불","-24310","-36766","-17666","-19329","19665","-5659","-9957","29083","-6521","-6818","1401","-5487","-6191","12045","22613","33778","15445","4794","5584","5189","-24474","-14648","-11719","-10390","15431","15986","9218","20303","7416","25545","104047",
"시리아","수출금액[천불]","천불","684","1261","850","469","984","1644","1234","710","1569","2314","2206","631","2043","8966","17010","16688","18568","25752","28501","15871","17956","14066","18805","22749","27114","19949","37249","50252","25624","22447","16231",
"시리아","수입금액[천불]","천불","12","227","8","0","22","40","6","6","25","38","0","3","6","5","36","12","0","11","19","46","46","3","31","3","24","0","10","15","2","29","17",
"시리아","무역수지[천불]","천불","672","1035","842","469","962","1604","1228","704","1544","2276","2206","629","2037","8961","16975","16675","18568","25741","28482","15825","17910","14063","18774","22746","27090","19949","37240","50236","25623","22419","16214",
"베네주엘라","수출금액[천불]","천불","3747","4377","3566","3551","2988","3154","4441","3649","2688","3785","3149","3288","2638","3502","2999","3377","2495","4007","3550","4635","4450","5381","3793","5318","3859","5896","4142","6099","2903","8308","5596",
"베네주엘라","수입금액[천불]","천불","256","856","469","579","386","1675","547","260","193","460","617","167","439","231","1167","89","487","1945","505","446","993","200","621","189","896","469","371","256","12510","1243","563",
"베네주엘라","무역수지[천불]","천불","3491","3521","3097","2971","2603","1479","3895","3389","2495","3325","2532","3121","2199","3271","1831","3288","2007","2062","3046","4189","3457","5182","3172","5128","2962","5427","3771","5843","-9607","7065","5033",
"캄보디아","수출금액[천불]","천불","55342","47338","55403","54844","56510","54880","63980","52264","48472","54714","57409","55734","49599","53393","53315","58666","49816","56339","58000","51238","70777","56025","61833","59906","54132","58434","78296","66979","55713","62269","59064",
"캄보디아","수입금액[천불]","천불","49339","49024","41552","37044","38213","34702","51120","51309","44487","36705","31622","40920","41984","40013","45414","40659","32400","36068","46221","49838","50511","38584","44335","52713","59832","50862","56081","51840","46951","63399","58043",
"캄보디아","무역수지[천불]","천불","6003","-1687","13851","17800","18297","20177","12859","955","3986","18009","25787","14815","7615","13380","7900","18007","17415","20271","11779","1400","20266","17441","17498","7193","-5700","7572","22215","15140","8762","-1130","1021",
"과테말라","수출금액[천불]","천불","27723","25973","35313","29134","25999","21435","22463","23070","14162","22133","20521","19540","18324","18940","27087","27477","17543","23793","22402","36883","23369","22692","25509","24732","22612","23837","28804","26398","26875","25456","23265",
"과테말라","수입금액[천불]","천불","7521","4685","5840","32126","8052","11177","9789","13983","10859","10613","9684","6745","7332","5758","7786","11032","15937","10150","8743","11396","8578","7083","4437","4004","5240","5812","6633","13838","9063","17286","9966",
"과테말라","무역수지[천불]","천불","20202","21288","29473","-2991","17947","10258","12674","9087","3304","11519","10837","12796","10992","13182","19301","16444","1605","13643","13659","25486","14791","15609","21072","20728","17373","18025","22171","12560","17812","8170","13299",
"영령 캐이맨 군도","수출금액[천불]","천불","539","440","474","1173","393","678","76","894","539","425","592","249","241","719","617","290","549","1007","1009","1376","637","481","1075","369","866","487","497","712","824","96","1448",
"영령 캐이맨 군도","수입금액[천불]","천불","0","0","30","3","4","0","0","0","0","0","0","0","0","2","4","2","1","7","0","2","1","0","1","0","0","0","0","0","7","0","0",
"영령 캐이맨 군도","무역수지[천불]","천불","538","440","443","1170","390","678","76","893","539","425","592","248","241","717","613","288","548","1001","1009","1374","636","481","1074","368","866","487","497","712","817","96","1448",
"스리랑카","수출금액[천불]","천불","17201","11159","12892","21751","12764","13272","17728","12899","13748","22781","16099","14105","16796","16926","14945","18557","14180","14263","21251","14000","21915","19065","46606","15486","19724","16317","19375","23374","18864","19537","29336",
"스리랑카","수입금액[천불]","천불","9216","24078","10384","11536","9965","7669","10201","11025","8251","7454","8194","8136","9979","10224","9842","10253","8336","6797","10515","9781","8877","7638","8111","9004","9835","7684","11191","9257","9299","10898","9355",
"스리랑카","무역수지[천불]","천불","7984","-12919","2508","10215","2799","5603","7527","1874","5496","15327","7905","5969","6817","6702","5102","8305","5844","7466","10736","4219","13038","11427","38495","6482","9889","8633","8185","14117","9565","8639","19981",
"모로코","수출금액[천불]","천불","28175","25693","31972","35527","29435","25929","31765","28332","23951","42253","32913","29847","20647","32212","31897","34495","36887","39439","34534","29060","46618","36040","35667","36414","29543","40135","39919","31006","31514","72756","30243",
"모로코","수입금액[천불]","천불","25034","16454","19760","10714","19146","12829","13244","10298","20139","12480","9241","21338","13057","23832","19070","24358","21523","18189","22398","17208","22329","26789","14217","36485","20514","52412","28990","24877","18314","34958","27635",
"모로코","무역수지[천불]","천불","3142","9240","12213","24813","10289","13100","18521","18034","3812","29773","23672","8509","7590","8380","12827","10137","15364","21250","12136","11852","24289","9251","21451","-70","9029","-12277","10929","6128","13200","37799","2608",
"영령 버진군도","수출금액[천불]","천불","1109","231","233","256","280","403","268","0","194","271","31","216","162","426","223","311","296","387","49","226","470","593","151","344","88","87","104","347","271","40","187",
"영령 버진군도","수입금액[천불]","천불","0","0","0","7","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",
"영령 버진군도","무역수지[천불]","천불","1109","231","233","249","280","403","266","0","194","271","31","216","162","426","223","311","296","387","49","226","470","593","151","344","88","87","104","347","269","40","187",
"토고","수출금액[천불]","천불","77228","75331","2276","3553","2163","1926","1612","1952","1860","3586","1814","2641","1736","2545","2237","1128","2787","1204","2432","2474","3933","2832","2586","4204","2505","2152","1861","1899","3159","4833","4509",
"토고","수입금액[천불]","천불","841","2187","2477","3409","1172","3389","10994","1001","3860","1126","2446","1196","850","547","279","144","419","567","945","913","540","460","9","471","966","311","824","347","784","288","345",
"토고","무역수지[천불]","천불","76388","73144","-201","143","990","-1463","-9381","951","-2000","2460","-632","1446","885","1997","1958","984","2368","636","1487","1561","3393","2372","2578","3734","1539","1841","1037","1552","2375","4545","4164",
"바레인","수출금액[천불]","천불","6683","11788","7685","7650","31320","28251","9953","16139","8914","20220","19213","27769","5242","14305","4274","14744","3455","15775","9352","10485","6618","6569","12196","37805","11177","5665","230","1181","2392","4572","3424",
"바레인","수입금액[천불]","천불","13001","20539","18120","56410","10632","46038","59210","23914","45046","26446","22434","56582","73455","66153","16072","25321","100783","44174","75110","52722","72703","54326","62001","26822","161055","47544","43863","1877","306","7347","2051",
"바레인","무역수지[천불]","천불","-6318","-8751","-10435","-48761","20687","-17788","-49257","-7775","-36132","-6226","-3221","-28812","-68213","-51848","-11797","-10577","-97328","-28399","-65758","-42237","-66085","-47757","-49804","10983","-149879","-41879","-43633","-695","2087","-2775","1373",
"몽골","수출금액[천불]","천불","36994","37761","45123","50288","60516","53956","48151","53992","51944","50989","47111","45012","31639","48647","54671","54890","144208","56641","39102","41539","60067","42255","45304","41498","39239","35538","57613","55852","50569","66151","56832",
"몽골","수입금액[천불]","천불","2444","1653","3164","3078","3125","3102","4102","2661","3436","4003","2359","2245","2671","1234","926","1313","1157","1614","2472","7928","3045","2670","4255","3136","1883","1232","1420","1372","3492","2596","1728",
"몽골","무역수지[천불]","천불","34550","36108","41959","47211","57391","50854","44049","51331","48508","46986","44753","42767","28968","47413","53745","53578","143051","55027","36630","33611","57022","39585","41049","38363","37356","34306","56193","54479","47077","63555","55104",
"푸에르토리코","수출금액[천불]","천불","69518","82821","44543","41938","33026","51286","46609","49884","47984","40689","47283","94221","34894","37396","42124","34906","32915","28181","40744","29204","27906","31839","37474","42407","21039","54816","32929","26104","30877","21402","34731",
"푸에르토리코","수입금액[천불]","천불","22940","29050","35373","30770","25687","30461","26956","37445","31727","28031","33252","26585","11880","29101","27924","24441","28051","24550","38773","25606","37576","52273","28684","29894","23238","19759","40363","26045","34970","33263","37655",
"푸에르토리코","무역수지[천불]","천불","46578","53771","9170","11167","7339","20825","19653","12439","16257","12657","14031","67636","23014","8295","14201","10465","4864","3631","1972","3597","-9670","-20434","8790","12512","-2198","35057","-7434","59","-4093","-11861","-2924",
"코스타리카","수출금액[천불]","천불","17852","19093","24506","27958","24208","26851","22131","27791","13453","16585","13868","17002","13470","29745","17717","26587","23225","17791","17136","11581","12414","14645","16621","12616","13221","14388","18464","17217","14148","16809","18604",
"코스타리카","수입금액[천불]","천불","14662","12928","14045","15361","13715","12917","16785","15015","13280","14265","21544","25498","9121","22657","15802","14285","20862","18818","20594","19180","20773","20999","20410","16424","18520","15029","20134","14551","18624","19699","21306",
"코스타리카","무역수지[천불]","천불","3190","6164","10461","12596","10493","13934","5346","12776","173","2320","-7676","-8496","4348","7088","1915","12302","2363","-1027","-3458","-7599","-8358","-6354","-3789","-3808","-5299","-641","-1670","2666","-4476","-2890","-2702",
"레바논","수출금액[천불]","천불","5844","7232","8144","8208","7096","8596","9144","8022","6675","4562","4458","6451","6332","8184","8155","10737","9105","11095","7607","9382","16567","9498","9610","8888","7761","11393","6719","6456","8299","11612","10739",
"레바논","수입금액[천불]","천불","1690","1542","1655","2139","1516","2870","3277","2378","1829","4799","2269","4295","1191","1749","2438","2110","1708","1459","1755","1653","1456","2221","2515","1673","1497","1948","1006","3341","490","3128","4057",
"레바논","무역수지[천불]","천불","4154","5690","6489","6069","5580","5726","5867","5644","4847","-236","2189","2155","5141","6435","5718","8627","7396","9636","5852","7729","15111","7278","7095","7216","6264","9444","5713","3115","7809","8483","6682",
"기타국","수출금액[천불]","천불","8434","3359","5861","5546","2312","2654","8274","4994","5010","5799","6742","11794","8412","5725","13665","3874","7466","12158","5335","7287","35320","11014","56741","8687","13364","7458","3807","4635","76005","11462","7468",
"기타국","수입금액[천불]","천불","24039","27789","44770","76578","45923","39829","72534","35340","31073","38533","6473","6834","28380","12761","13656","17392","5820","4116","5566","5906","8037","6189","5289","5038","3709","4777","9182","8987","8250","5039","7167",
"기타국","무역수지[천불]","천불","-15605","-24430","-38909","-71032","-43611","-37175","-64261","-30346","-26063","-32734","268","4960","-19968","-7037","9","-13518","1646","8042","-231","1381","27283","4825","51452","3649","9655","2681","-5375","-4352","67756","6423","301",
